Country,2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,1 ,<1 , 4,,3 ,1 , 8,,3 ,1 , 10,,4 ,2 , 13,,5 ,2 , 16,,5 ,2 , 19,,8 ,3 , 29,,11 ,4 , 44,,11 ,4 , 44,,11 ,4 , 45,,11 ,4 , 44,,11 ,4 , 45,,10 ,3 , 45,,10 ,3 , 46,,11 ,3 , 53,
Albania,20 ,18 , 23,"Children estimates were not available at the time of publication.",24 ,21 , 27,"Children estimates were not available at the time of publication.",30 ,26 , 33,"Children estimates were not available at the time of publication.",38 ,33 , 43,"Children estimates were not available at the time of publication.",39 ,34 , 43,"Children estimates were not available at the time of publication.",43 ,37 , 48,"Children estimates were not available at the time of publication.",47 ,40 , 52,"Children estimates were not available at the time of publication.",49 ,42 , 54,"Children estimates were not available at the time of publication.",47 ,41 , 52,"Children estimates were not available at the time of publication.",48 ,41 , 53,"Children estimates were not available at the time of publication.",51 ,43 , 56,"Children estimates were not available at the time of publication.",55 ,47 , 60,"Children estimates were not available at the time of publication.",58 ,50 , 66,"Children estimates were not available at the time of publication.",57 ,49 , 65,"Children estimates were not available at the time of publication.",61 ,52 , 70,"Children estimates were not available at the time of publication."
Algeria,21 ,20 , 22,,23 ,22 , 25,,28 ,26 , 29,,35 ,33 , 37,,43 ,41 , 45,,51 ,48 , 54,,59 ,56 , 63,,64 ,60 , 68,,69 ,64 , 74,,72 ,66 , 78,,72 ,66 , 79,,74 ,67 , 82,,69 ,62 , 77,,71 ,63 , 80,,68 ,60 , 78,
Angola,9 ,8 , 10,,10 ,9 , 12,,12 ,10 , 13,,17 ,15 , 19,,22 ,19 , 24,,24 ,21 , 27,,22 ,20 , 25,,24 ,22 , 28,,27 ,24 , 30,,28 ,25 , 31,,32 ,29 , 36,,36 ,32 , 41,,40 ,36 , 45,,44 ,39 , 50,,48 ,42 , 53,
Antigua and Barbuda,16 ,14 , 17,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",40 ,35 , 43,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",38 ,34 , 42,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",39 ,34 , 42,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",45 ,39 , 48,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",45 ,40 , 49,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",56 ,49 , 60,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",57 ,50 , 61,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",57 ,51 , 62,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",52 ,47 , 57,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",54 ,49 , 59,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",61 ,54 , 67,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",69 ,61 , 76,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",74 ,66 , 83,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",73 ,64 , 83,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,46 ,42 , 49,,49 ,44 , 52,,52 ,47 , 55,,55 ,50 , 58,,58 ,52 , 62,,61 ,55 , 65,,64 ,57 , 68,,66 ,59 , 70,,68 ,61 , 72,,70 ,63 , 74,,72 ,65 , 76,,74 ,67 , 78,,76 ,69 , 81,,77 ,70 , 83,,79 ,72 , 85,
Armenia,14 ,11 , 18,,15 ,12 , 19,,18 ,15 , 23,,21 ,17 , 25,,23 ,19 , 28,,27 ,22 , 32,,30 ,26 , 36,,36 ,30 , 42,,40 ,34 , 47,,43 ,36 , 51,,42 ,35 , 51,,45 ,37 , 55,,49 ,39 , 61,,49 ,39 , 65,,52 ,41 , 73,
Australia,62 ,57 , 67,,65 ,60 , 70,,68 ,63 , 73,,73 ,67 , 79,,76 ,70 , 82,,80 ,73 , 86,,81 ,74 , 88,,83 ,76 , 90,,83 ,75 , 90,,84 ,76 , 91,,85 ,77 , 92,,85 ,77 , 93,,86 ,77 , 94,,88 ,79 , 97,,... ,... , ...,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,6 ,5 , 7,"Children estimates were not available at the time of publication.",9 ,7 , 11,"Children estimates were not available at the time of publication.",11 ,9 , 14,"Children estimates were not available at the time of publication.",15 ,13 , 19,"Children estimates were not available at the time of publication.",21 ,18 , 26,"Children estimates were not available at the time of publication.",27 ,23 , 32,"Children estimates were not available at the time of publication.",33 ,28 , 39,"Children estimates were not available at the time of publication.",39 ,33 , 46,"Children estimates were not available at the time of publication.",46 ,40 , 54,"Children estimates were not available at the time of publication.",56 ,48 , 65,"Children estimates were not available at the time of publication.",60 ,52 , 71,"Children estimates were not available at the time of publication.",66 ,56 , 77,"Children estimates were not available at the time of publication.",67 ,57 , 78,"Children estimates were not available at the time of publication.",76 ,65 , 89,"Children estimates were not available at the time of publication.",86 ,73 , >98,"Children estimates were not available at the time of publication."
