Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Afghanistan,<500 ,<100 , 530,,<500 ,<200 , 650,,<500 ,<200 , 850,,580 ,<200 , 1100,,690 ,<500 , 1200,,810 ,<500 , 1500,,930 ,<500 , 1700,,1100 ,<500 , 2000,,1200 ,500 , 2400,,1300 ,610 , 2600,,1400 ,680 , 2900,,1600 ,790 , 3200,,1800 ,910 , 3900,,2000 ,1000 , 4700,,2200 ,1200 , 5400,,2500 ,1200 , 6400,,2800 ,1400 , 7100,,3000 ,1500 , 7900,,3400 ,1600 , 9000,,3700 ,1700 , 10 000,,4000 ,1800 , 12 000,,4500 ,1900 , 14 000,,4900 ,2100 , 15 000,,5400 ,2200 , 18 000,,5900 ,2300 , 21 000,,6500 ,2400 , 23 000,,7000 ,2600 , 26 000,,7700 ,2800 , 31 000,,8400 ,2900 , 33 000,,9100 ,3100 , 35 000,,9900 ,3400 , 39 000,,11 000 ,3500 , 43 000,,11 000 ,3700 , 50 000,,12 000 ,3800 , 56 000,,13 000 ,3900 , 64 000,
Albania,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 560,"Children estimates were not available at the time of publication.",570 ,<500 , 640,"Children estimates were not available at the time of publication.",640 ,560 , 720,"Children estimates were not available at the time of publication.",720 ,620 , 810,"Children estimates were not available at the time of publication.",790 ,690 , 890,"Children estimates were not available at the time of publication.",870 ,750 , 970,"Children estimates were not available at the time of publication.",950 ,820 , 1100,"Children estimates were not available at the time of publication.",1000 ,880 , 1100,"Children estimates were not available at the time of publication.",1100 ,950 , 1200,"Children estimates were not available at the time of publication.",1200 ,1000 , 1300,"Children estimates were not available at the time of publication.",1200 ,1100 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1700,"Children estimates were not available at the time of publication.",1600 ,1300 , 1800,"Children estimates were not available at the time of publication."
Algeria,<500 ,<500 , 540,,580 ,530 , 640,,690 ,630 , 750,,810 ,740 , 870,,950 ,880 , 1000,,1100 ,1000 , 1200,,1300 ,1200 , 1400,,1500 ,1500 , 1600,,1800 ,1700 , 1900,,2200 ,2100 , 2300,,2600 ,2400 , 2700,,3000 ,2900 , 3200,,3600 ,3400 , 3700,,4200 ,4000 , 4400,,4900 ,4600 , 5100,,5700 ,5400 , 6000,,6600 ,6200 , 7000,,7600 ,7200 , 8100,,8700 ,8100 , 9200,,9700 ,9000 , 10 000,,11 000 ,9900 , 11 000,,11 000 ,11 000 , 12 000,,12 000 ,12 000 , 13 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 18 000,,19 000 ,17 000 , 20 000,,20 000 ,18 000 , 22 000,,22 000 ,20 000 , 24 000,,23 000 ,21 000 , 26 000,,25 000 ,23 000 , 28 000,,28 000 ,25 000 , 31 000,,30 000 ,26 000 , 34 000,
Angola,34 000 ,20 000 , 56 000,,41 000 ,25 000 , 66 000,,49 000 ,31 000 , 77 000,,58 000 ,37 000 , 87 000,,68 000 ,44 000 , 97 000,,78 000 ,53 000 , 110 000,,88 000 ,63 000 , 120 000,,99 000 ,72 000 , 130 000,,110 000 ,82 000 , 140 000,,120 000 ,92 000 , 150 000,,130 000 ,100 000 , 170 000,,140 000 ,110 000 , 180 000,,150 000 ,120 000 , 190 000,,160 000 ,130 000 , 200 000,,180 000 ,140 000 , 210 000,,190 000 ,160 000 , 220 000,,200 000 ,170 000 , 230 000,,210 000 ,180 000 , 240 000,,220 000 ,190 000 , 260 000,,230 000 ,200 000 , 270 000,,240 000 ,220 000 , 280 000,,260 000 ,230 000 , 290 000,,270 000 ,240 000 , 300 000,,280 000 ,250 000 , 310 000,,290 000 ,260 000 , 330 000,,300 000 ,270 000 , 340 000,,310 000 ,280 000 , 350 000,,320 000 ,290 000 , 370 000,,330 000 ,300 000 , 380 000,,340 000 ,300 000 , 380 000,,350 000 ,310 000 , 390 000,,350 000 ,310 000 , 400 000,,360 000 ,320 000 , 400 000,,360 000 ,320 000 , 410 000,,370 000 ,330 000 , 410 000,
Antigua and Barbuda,<100 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<100 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <200,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<200 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<200 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , <500,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",<500 ,<500 , 520,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",510 ,<500 , 550,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",530 ,<500 , 580,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",560 ,<500 , 610,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",590 ,520 , 640,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",620 ,550 , 670,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",650 ,580 , 700,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",670 ,600 , 730,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",700 ,630 , 760,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",720 ,650 , 790,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",750 ,670 , 830,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",770 ,680 , 860,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals",800 ,700 , 910,"Countries with a UNAIDS-approved estimate and population less than 250000 in 2024; not included in regional or global totals"
Argentina,18 000 ,16 000 , 20 000,,23 000 ,20 000 , 25 000,,27 000 ,24 000 , 29 000,,31 000 ,28 000 , 34 000,,35 000 ,31 000 , 38 000,,39 000 ,35 000 , 42 000,,43 000 ,38 000 , 46 000,,46 000 ,41 000 , 49 000,,49 000 ,44 000 , 53 000,,53 000 ,47 000 , 56 000,,56 000 ,51 000 , 60 000,,60 000 ,54 000 , 64 000,,64 000 ,58 000 , 68 000,,68 000 ,61 000 , 72 000,,72 000 ,65 000 , 76 000,,75 000 ,68 000 , 80 000,,79 000 ,72 000 , 84 000,,83 000 ,75 000 , 88 000,,86 000 ,79 000 , 92 000,,90 000 ,82 000 , 96 000,,94 000 ,85 000 , 100 000,,97 000 ,88 000 , 100 000,,100 000 ,91 000 , 110 000,,100 000 ,95 000 , 110 000,,110 000 ,98 000 , 120 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 130 000,,130 000 ,110 000 , 130 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,140 000 ,120 000 , 150 000,,140 000 ,130 000 , 150 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<100 ,<100 , <200,,<200 ,<100 , <500,,<200 ,<100 , <500,,<500 ,<200 , <500,,<500 ,<500 , 520,,<500 ,<500 , 680,,590 ,<500 , 870,,770 ,530 , 1100,,980 ,690 , 1400,,1200 ,870 , 1700,,1500 ,1100 , 2000,,1800 ,1300 , 2300,,2100 ,1600 , 2700,,2400 ,1900 , 3000,,2800 ,2300 , 3400,,3100 ,2600 , 3800,,3500 ,3000 , 4100,,3900 ,3300 , 4600,,4300 ,3600 , 5000,,4700 ,4000 , 5500,,5100 ,4300 , 6100,,5500 ,4600 , 6600,,5900 ,4800 , 7200,,6400 ,5100 , 8000,,7000 ,5500 , 9200,,7300 ,5700 , 10 000,
Australia,10 000 ,9900 , 11 000,,10 000 ,10 000 , 11 000,,10 000 ,9900 , 11 000,,10 000 ,9600 , 11 000,,9900 ,9300 , 10 000,,9600 ,9100 , 10 000,,9600 ,9100 , 10 000,,10 000 ,9500 , 11 000,,11 000 ,10 000 , 11 000,,11 000 ,11 000 , 12 000,,12 000 ,11 000 , 13 000,,13 000 ,12 000 , 13 000,,13 000 ,13 000 , 14 000,,14 000 ,13 000 , 15 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 18 000,,18 000 ,16 000 , 19 000,,19 000 ,17 000 , 20 000,,19 000 ,18 000 , 21 000,,20 000 ,19 000 , 22 000,,21 000 ,19 000 , 23 000,,22 000 ,20 000 , 24 000,,23 000 ,21 000 , 25 000,,24 000 ,22 000 , 25 000,,24 000 ,22 000 , 26 000,,25 000 ,23 000 , 27 000,,26 000 ,24 000 , 28 000,,27 000 ,25 000 , 29 000,,28 000 ,25 000 , 30 000,,29 000 ,26 000 , 31 000,,29 000 ,26 000 , 32 000,,30 000 ,27 000 , 33 000,,30 000 ,27 000 , 34 000,,31 000 ,27 000 , 34 000,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,<500 ,<100 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , 540,"Children estimates were not available at the time of publication.",<500 ,<200 , 650,"Children estimates were not available at the time of publication.",<500 ,<500 , 810,"Children estimates were not available at the time of publication.",690 ,<500 , 1100,"Children estimates were not available at the time of publication.",970 ,560 , 1500,"Children estimates were not available at the time of publication.",1400 ,780 , 2000,"Children estimates were not available at the time of publication.",1900 ,1100 , 2900,"Children estimates were not available at the time of publication.",2500 ,1600 , 3600,"Children estimates were not available at the time of publication.",3200 ,2100 , 4500,"Children estimates were not available at the time of publication.",3900 ,2600 , 5400,"Children estimates were not available at the time of publication.",4600 ,3100 , 6100,"Children estimates were not available at the time of publication.",5100 ,3700 , 6900,"Children estimates were not available at the time of publication.",5700 ,4200 , 7500,"Children estimates were not available at the time of publication.",6100 ,4700 , 8000,"Children estimates were not available at the time of publication.",6500 ,5100 , 8500,"Children estimates were not available at the time of publication.",6800 ,5300 , 8600,"Children estimates were not available at the time of publication.",7000 ,5600 , 8800,"Children estimates were not available at the time of publication.",7300 ,5800 , 9000,"Children estimates were not available at the time of publication.",7500 ,6000 , 9200,"Children estimates were not available at the time of publication.",7700 ,6200 , 9300,"Children estimates were not available at the time of publication.",7800 ,6400 , 9500,"Children estimates were not available at the time of publication.",8000 ,6500 , 9700,"Children estimates were not available at the time of publication.",8100 ,6700 , 9900,"Children estimates were not available at the time of publication.",8300 ,6900 , 10 000,"Children estimates were not available at the time of publication.",8400 ,7100 , 10 000,"Children estimates were not available at the time of publication.",8500 ,7300 , 10 000,"Children estimates were not available at the time of publication.",8700 ,7500 , 10 000,"Children estimates were not available at the time of publication.",8900 ,7700 , 10 000,"Children estimates were not available at the time of publication.",9100 ,7900 , 11 000,"Children estimates were not available at the time of publication.",9300 ,8100 , 11 000,"Children estimates were not available at the time of publication.",9500 ,8100 , 11 000,"Children estimates were not available at the time of publication.",9600 ,8200 , 11 000,"Children estimates were not available at the time of publication.",9800 ,8300 , 11 000,"Children estimates were not available at the time of publication.",9900 ,8400 , 12 000,"Children estimates were not available at the time of publication."
