Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote
Afghanistan,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1400,,<1000 ,<500 , 1700,,1100 ,<1000 , 2000,,1200 ,<1000 , 2300,,1300 ,<1000 , 2600,,1500 ,<1000 , 2900,,1600 ,<1000 , 3100,,1700 ,<1000 , 3500,,2000 ,1100 , 4200,,2300 ,1200 , 4900,,2500 ,1400 , 5300,,2800 ,1500 , 6100,,3100 ,1600 , 6700,,3100 ,1600 , 7000,,3500 ,1800 , 8400,,3800 ,1900 , 9400,,4100 ,1900 , 10 000,,4700 ,2200 , 12 000,,5100 ,2400 , 13 000,,5500 ,2600 , 15 000,,6100 ,2800 , 18 000,,6500 ,2900 , 20 000,,7100 ,3000 , 22 000,,7800 ,3100 , 26 000,,8400 ,3200 , 29 000,,9100 ,3300 , 33 000,,10 000 ,3600 , 38 000,,11 000 ,3800 , 42 000,,12 000 ,4000 , 49 000,,13 000 ,4200 , 54 000,
Albania,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1000,,<1000 ,<1000 , 1100,,1100 ,<1000 , 1200,,1100 ,<1000 , 1300,,1200 ,1000 , 1300,,1300 ,1100 , 1400,,1300 ,1100 , 1500,,1400 ,1200 , 1500,,1400 ,1200 , 1600,,1400 ,1300 , 1700,,1500 ,1300 , 1700,
Algeria,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1100 ,1000 , 1200,,1300 ,1200 , 1300,,1400 ,1300 , 1500,,1700 ,1600 , 1800,,2000 ,1900 , 2100,,2400 ,2300 , 2500,,2900 ,2700 , 3000,,3500 ,3300 , 3600,,4100 ,3900 , 4300,,4900 ,4600 , 5100,,5700 ,5400 , 6000,,6500 ,6200 , 6900,,7400 ,7100 , 7800,,8300 ,7900 , 8700,,9200 ,8700 , 9600,,10 000 ,9500 , 11 000,,11 000 ,10 000 , 11 000,,12 000 ,11 000 , 12 000,,13 000 ,12 000 , 13 000,,14 000 ,13 000 , 14 000,,15 000 ,14 000 , 15 000,,16 000 ,15 000 , 16 000,,17 000 ,16 000 , 18 000,,18 000 ,17 000 , 19 000,,19 000 ,18 000 , 21 000,,21 000 ,19 000 , 22 000,,22 000 ,21 000 , 24 000,,24 000 ,22 000 , 26 000,,26 000 ,23 000 , 29 000,
Angola,51 000 ,30 000 , 66 000,,59 000 ,36 000 , 75 000,,67 000 ,42 000 , 84 000,,75 000 ,48 000 , 93 000,,83 000 ,55 000 , 100 000,,92 000 ,62 000 , 110 000,,100 000 ,70 000 , 120 000,,110 000 ,78 000 , 130 000,,120 000 ,87 000 , 140 000,,130 000 ,97 000 , 150 000,,140 000 ,110 000 , 160 000,,150 000 ,120 000 , 170 000,,160 000 ,130 000 , 180 000,,170 000 ,140 000 , 190 000,,180 000 ,150 000 , 200 000,,190 000 ,160 000 , 220 000,,200 000 ,170 000 , 230 000,,210 000 ,190 000 , 240 000,,230 000 ,200 000 , 260 000,,240 000 ,210 000 , 270 000,,250 000 ,220 000 , 290 000,,260 000 ,230 000 , 300 000,,270 000 ,240 000 , 320 000,,280 000 ,250 000 , 330 000,,290 000 ,260 000 , 340 000,,300 000 ,260 000 , 350 000,,310 000 ,270 000 , 360 000,,310 000 ,270 000 , 360 000,,320 000 ,270 000 , 370 000,,320 000 ,280 000 , 370 000,,320 000 ,280 000 , 370 000,,320 000 ,280 000 , 380 000,,320 000 ,280 000 , 380 000,,320 000 ,280 000 , 380 000,
Argentina,16 000 ,13 000 , 18 000,,20 000 ,17 000 , 23 000,,25 000 ,22 000 , 28 000,,30 000 ,26 000 , 33 000,,34 000 ,30 000 , 38 000,,38 000 ,34 000 , 41 000,,41 000 ,37 000 , 45 000,,45 000 ,40 000 , 48 000,,48 000 ,43 000 , 51 000,,51 000 ,47 000 , 55 000,,54 000 ,50 000 , 58 000,,58 000 ,53 000 , 62 000,,62 000 ,56 000 , 66 000,,65 000 ,60 000 , 69 000,,69 000 ,63 000 , 73 000,,73 000 ,67 000 , 77 000,,76 000 ,70 000 , 81 000,,80 000 ,74 000 , 85 000,,84 000 ,78 000 , 89 000,,88 000 ,81 000 , 94 000,,92 000 ,85 000 , 98 000,,96 000 ,89 000 , 100 000,,100 000 ,93 000 , 110 000,,100 000 ,97 000 , 110 000,,110 000 ,100 000 , 120 000,,110 000 ,100 000 , 120 000,,120 000 ,110 000 , 120 000,,120 000 ,110 000 , 130 000,,120 000 ,110 000 , 130 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 140 000,,140 000 ,130 000 , 150 000,
Armenia,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <100,,<100 ,<100 , <200,,<200 ,<100 , <200,,<200 ,<200 , <500,,<500 ,<200 , <500,,<500 ,<500 , <500,,<500 ,<500 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , <1000,,<1000 ,<1000 , 1100,,1200 ,1100 , 1300,,1500 ,1400 , 1600,,1800 ,1600 , 1900,,2100 ,1900 , 2200,,2400 ,2200 , 2600,,2700 ,2500 , 2900,,3100 ,2900 , 3200,,3400 ,3200 , 3600,,3700 ,3500 , 3900,,4100 ,3900 , 4300,,4400 ,4200 , 4700,,4800 ,4500 , 5100,,5200 ,4900 , 5500,,5500 ,5200 , 5900,,5900 ,5500 , 6400,,6300 ,5900 , 6900,
Australia,10 000 ,10 000 , 11 000,,11 000 ,10 000 , 11 000,,11 000 ,11 000 , 11 000,,11 000 ,11 000 , 11 000,,11 000 ,10 000 , 11 000,,10 000 ,10 000 , 11 000,,11 000 ,10 000 , 11 000,,11 000 ,10 000 , 12 000,,11 000 ,11 000 , 12 000,,12 000 ,11 000 , 13 000,,12 000 ,12 000 , 13 000,,13 000 ,12 000 , 14 000,,14 000 ,13 000 , 15 000,,14 000 ,13 000 , 16 000,,15 000 ,14 000 , 16 000,,16 000 ,15 000 , 17 000,,17 000 ,16 000 , 18 000,,18 000 ,17 000 , 19 000,,19 000 ,17 000 , 20 000,,20 000 ,18 000 , 21 000,,20 000 ,19 000 , 22 000,,21 000 ,20 000 , 23 000,,22 000 ,21 000 , 24 000,,23 000 ,22 000 , 25 000,,24 000 ,22 000 , 26 000,,25 000 ,23 000 , 27 000,,26 000 ,24 000 , 28 000,,26 000 ,24 000 , 29 000,,27 000 ,25 000 , 29 000,,28 000 ,25 000 , 30 000,,28 000 ,26 000 , 31 000,,29 000 ,26 000 , 32 000,,29 000 ,26 000 , 32 000,,29 000 ,26 000 , 33 000,
Austria,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Azerbaijan,<500 ,<100 , <500,,<500 ,<200 , <1000,,<500 ,<200 , <1000,,<500 ,<500 , <1000,,<1000 ,<500 , 1100,,<1000 ,<500 , 1400,,1300 ,<1000 , 2000,,1900 ,1000 , 2600,,2500 ,1400 , 3400,,3200 ,2000 , 4500,,4000 ,2700 , 5400,,4700 ,3400 , 6400,,5400 ,4000 , 7200,,5900 ,4500 , 7800,,6400 ,4900 , 8300,,6800 ,5300 , 8700,,7000 ,5600 , 8900,,7300 ,5800 , 9000,,7500 ,6100 , 9300,,7700 ,6200 , 9500,,7900 ,6500 , 9600,,8000 ,6700 , 9700,,8200 ,6800 , 9800,,8300 ,7000 , 9900,,8500 ,7100 , 10 000,,8600 ,7300 , 10 000,,8800 ,7400 , 10 000,,9000 ,7600 , 11 000,,9200 ,7700 , 11 000,,9400 ,8000 , 11 000,,9700 ,8200 , 11 000,,9900 ,8400 , 11 000,,10 000 ,8500 , 12 000,,10 000 ,8700 , 12 000,
Bahamas,2200 ,1800 , 2500,,2500 ,2200 , 2900,,2800 ,2500 , 3300,,3200 ,2900 , 3600,,3400 ,3200 , 3900,,3700 ,3400 , 4100,,3900 ,3500 , 4300,,4000 ,3700 , 4400,,4100 ,3800 , 4400,,4200 ,3900 , 4500,,4200 ,3900 , 4500,,4200 ,3900 , 4500,,4200 ,3800 , 4500,,4200 ,3800 , 4500,,4200 ,3900 , 4600,,4200 ,3900 , 4600,,4300 ,4000 , 4600,,4300 ,4000 , 4600,,4300 ,4000 , 4600,,4400 ,4100 , 4700,,4400 ,4100 , 4700,,4400 ,4100 , 4700,,4300 ,4000 , 4600,,4300 ,3900 , 4600,,4300 ,3900 , 4600,,4300 ,3900 , 4600,,4200 ,3800 , 4600,,4200 ,3800 , 4600,,4200 ,3800 , 4700,,4200 ,3800 , 4700,,4200 ,3700 , 4700,,4200 ,3700 , 4700,,4100 ,3600 , 4700,,4100 ,3600 , 4600,
